tecnica;mean_absolute_error;mean_squared_error;mean_squared_log_error;median_absolute_error;identificador_aleatorio;tipo_split;normalizador;redutor_dimensionalidade;pipeline;parametros;random_state_split;random_state_random_search;cross_validation_random_search;best_estimator;best_params
KNeighborsRegressor;0.4761290322580645;0.5922580645161291;0.013412655470268023;0.0;5254109;train_test_split 30%;Não utilizado;Não utilizado;"[('KNeighborsRegressor', KNeighborsRegressor(algorithm='auto', leaf_size=30, metric='minkowski',
                    metric_params=None, n_jobs=None, n_neighbors=5, p=2,
                    weights='uniform'))]";{'KNeighborsRegressor__n_neighbors': [3, 5, 7, 9], 'KNeighborsRegressor__weights': ('uniform', 'distance'), 'KNeighborsRegressor__algorithm': ('auto', 'ball_tree', 'kd_tree', 'brute'), 'KNeighborsRegressor__p': [1, 2]};2;17;9;"Pipeline(memory=None,
         steps=[('KNeighborsRegressor',
                 KNeighborsRegressor(algorithm='auto', leaf_size=30,
                                     metric='minkowski', metric_params=None,
                                     n_jobs=None, n_neighbors=7, p=1,
                                     weights='distance'))],
         verbose=False)";{'KNeighborsRegressor__weights': 'distance', 'KNeighborsRegressor__p': 1, 'KNeighborsRegressor__n_neighbors': 7, 'KNeighborsRegressor__algorithm': 'auto'}
RadiusNeighborsRegressor;4.377419354838709;25.65741935483871;2.7538642856839366;5.0;1607207;train_test_split 30%;Não utilizado;Não utilizado;"[('RadiusNeighborsRegressor', RadiusNeighborsRegressor(algorithm='auto', leaf_size=30, metric='minkowski',
                         metric_params=None, n_jobs=None, p=2, radius=1.0,
                         weights='uniform'))]";{'RadiusNeighborsRegressor__weights': ('uniform', 'distance'), 'RadiusNeighborsRegressor__algorithm': ('ball_tree', 'kd_tree', 'brute', 'auto'), 'RadiusNeighborsRegressor__p': [1, 2]};2;19;8;"Pipeline(memory=None,
         steps=[('RadiusNeighborsRegressor',
                 RadiusNeighborsRegressor(algorithm='kd_tree', leaf_size=30,
                                          metric='minkowski',
                                          metric_params=None, n_jobs=None, p=2,
                                          radius=1.0, weights='distance'))],
         verbose=False)";{'RadiusNeighborsRegressor__weights': 'distance', 'RadiusNeighborsRegressor__p': 2, 'RadiusNeighborsRegressor__algorithm': 'kd_tree'}
MLPRegressor;0.5561290322580645;0.6864516129032258;0.015317216079438771;0.0;6714473;train_test_split 30%;Não utilizado;Não utilizado;"[('MLPRegressor', MLPRegressor(activation='relu', alpha=0.0001, batch_size='auto', beta_1=0.9,
             beta_2=0.999, early_stopping=False, epsilon=1e-08,
             hidden_layer_sizes=(100,), learning_rate='constant',
             learning_rate_init=0.001, max_iter=200, momentum=0.9,
             n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,
             random_state=None, shuffle=True, solver='adam', tol=0.0001,
             validation_fraction=0.1, verbose=False, warm_start=False))]";{'MLPRegressor__hidden_layer_sizes': [(1,), (100,), (500,), (1, 3), (100, 3), (500, 3)], 'MLPRegressor__activation': ('identity', 'logistic', 'tanh', 'relu'), 'MLPRegressor__solver': ('lbfgs', 'sgd', 'adam'), 'MLPRegressor__learning_rate': ('constant', 'invscaling', 'adaptive'), 'MLPRegressor__shuffle': [True, False], 'MLPRegressor__max_iter': [100, 200, 300, 1000], 'MLPRegressor__tol': [0.001, 0.0001, 1e-05]};2;8;6;"Pipeline(memory=None,
         steps=[('MLPRegressor',
                 MLPRegressor(activation='relu', alpha=0.0001,
                              batch_size='auto', beta_1=0.9, beta_2=0.999,
                              early_stopping=False, epsilon=1e-08,
                              hidden_layer_sizes=(1, 3),
                              learning_rate='constant',
                              learning_rate_init=0.001, max_iter=100,
                              momentum=0.9, n_iter_no_change=10,
                              nesterovs_momentum=True, power_t=0.5,
                              random_state=None, shuffle=False, solver='lbfgs',
                              tol=1e-05, validation_fraction=0.1, verbose=False,
                              warm_start=False))],
         verbose=False)";{'MLPRegressor__tol': 1e-05, 'MLPRegressor__solver': 'lbfgs', 'MLPRegressor__shuffle': False, 'MLPRegressor__max_iter': 100, 'MLPRegressor__learning_rate': 'constant', 'MLPRegressor__hidden_layer_sizes': (1, 3), 'MLPRegressor__activation': 'relu'}
ExtraTreeRegressor;0.5425806451612903;0.7593548387096775;0.01715082954596906;0.0;7002316;train_test_split 30%;Não utilizado;Não utilizado;"[('ExtraTreeRegressor', ExtraTreeRegressor(criterion='mse', max_depth=None, max_features='auto',
                   max_leaf_nodes=None, min_impurity_decrease=0.0,
                   min_impurity_split=None, min_samples_leaf=1,
                   min_samples_split=2, min_weight_fraction_leaf=0.0,
                   random_state=None, splitter='random'))]";{'ExtraTreeRegressor__criterion': ('mse', 'mae'), 'ExtraTreeRegressor__max_features': ('auto', 'sqrt', 'log2')};2;9;5;"Pipeline(memory=None,
         steps=[('ExtraTreeRegressor',
                 ExtraTreeRegressor(criterion='mae', max_depth=None,
                                    max_features='auto', max_leaf_nodes=None,
                                    min_impurity_decrease=0.0,
                                    min_impurity_split=None, min_samples_leaf=1,
                                    min_samples_split=2,
                                    min_weight_fraction_leaf=0.0,
                                    random_state=None, splitter='random'))],
         verbose=False)";{'ExtraTreeRegressor__max_features': 'auto', 'ExtraTreeRegressor__criterion': 'mae'}
RandomForestRegressor;0.4251612903225807;0.5077419354838709;0.011521404484136244;0.0;8015939;train_test_split 30%;normalizer;pca;"[('normalizer', Normalizer(copy=True, norm='l2')), ('pca', PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)), ('RandomForestRegressor', RandomForestRegressor(bootstrap=True, criterion='mse', max_depth=None,
                      max_features='auto', max_leaf_nodes=None,
                      min_impurity_decrease=0.0, min_impurity_split=None,
                      min_samples_leaf=1, min_samples_split=2,
                      min_weight_fraction_leaf=0.0, n_estimators='warn',
                      n_jobs=None, oob_score=False, random_state=None,
                      verbose=0, warm_start=False))]";{'normalizer__norm': ('l1', 'l2', 'max'), 'pca__n_components': [None, 3, 5, 7, 9, 11], 'pca__whiten': [True, False], 'pca__svd_solver': ('auto', 'full', 'randomized'), 'RandomForestRegressor__n_estimators': [5, 10, 15], 'RandomForestRegressor__criterion': ('mse', 'mae'), 'RandomForestRegressor__max_features': ('auto', 'sqrt', 'log2'), 'RandomForestRegressor__bootstrap': [True, False], 'RandomForestRegressor__warm_start': [True, False]};2;8;3;"Pipeline(memory=None,
         steps=[('normalizer', Normalizer(copy=True, norm='l1')),
                ('pca',
                 PCA(copy=True, iterated_power='auto', n_components=11,
                     random_state=None, svd_solver='full', tol=0.0,
                     whiten=False)),
                ('RandomForestRegressor',
                 RandomForestRegressor(bootstrap=True, criterion='mae',
                                       max_depth=None, max_features='auto',
                                       max_leaf_nodes=None,
                                       min_impurity_decrease=0.0,
                                       min_impurity_split=None,
                                       min_samples_leaf=1, min_samples_split=2,
                                       min_weight_fraction_leaf=0.0,
                                       n_estimators=15, n_jobs=None,
                                       oob_score=False, random_state=None,
                                       verbose=0, warm_start=True))],
         verbose=False)";{'pca__whiten': False, 'pca__svd_solver': 'full', 'pca__n_components': 11, 'normalizer__norm': 'l1', 'RandomForestRegressor__warm_start': True, 'RandomForestRegressor__n_estimators': 15, 'RandomForestRegressor__max_features': 'auto', 'RandomForestRegressor__criterion': 'mae', 'RandomForestRegressor__bootstrap': True}
ExtraTreesRegressor;0.44387096774193546;0.5380645161290323;0.012141837449087877;0.0;1977346;train_test_split 30%;normalizer;pca;"[('normalizer', Normalizer(copy=True, norm='l2')), ('pca', PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)), ('ExtraTreesRegressor', ExtraTreesRegressor(bootstrap=False, criterion='mse', max_depth=None,
                    max_features='auto', max_leaf_nodes=None,
                    min_impurity_decrease=0.0, min_impurity_split=None,
                    min_samples_leaf=1, min_samples_split=2,
                    min_weight_fraction_leaf=0.0, n_estimators='warn',
                    n_jobs=None, oob_score=False, random_state=None, verbose=0,
                    warm_start=False))]";{'normalizer__norm': ('l1', 'l2', 'max'), 'pca__n_components': [None, 3, 5, 7, 9, 11], 'pca__whiten': [True, False], 'pca__svd_solver': ('auto', 'full', 'randomized'), 'ExtraTreesRegressor__n_estimators': [5, 10, 15], 'ExtraTreesRegressor__criterion': ('mse', 'mae'), 'ExtraTreesRegressor__max_features': ('auto', 'sqrt', 'log2'), 'ExtraTreesRegressor__bootstrap': [True, False], 'ExtraTreesRegressor__warm_start': [True, False]};2;25;10;"Pipeline(memory=None,
         steps=[('normalizer', Normalizer(copy=True, norm='l1')),
                ('pca',
                 PCA(copy=True, iterated_power='auto', n_components=11,
                     random_state=None, svd_solver='auto', tol=0.0,
                     whiten=False)),
                ('ExtraTreesRegressor',
                 ExtraTreesRegressor(bootstrap=True, criterion='mae',
                                     max_depth=None, max_features='auto',
                                     max_leaf_nodes=None,
                                     min_impurity_decrease=0.0,
                                     min_impurity_split=None,
                                     min_samples_leaf=1, min_samples_split=2,
                                     min_weight_fraction_leaf=0.0,
                                     n_estimators=10, n_jobs=None,
                                     oob_score=False, random_state=None,
                                     verbose=0, warm_start=True))],
         verbose=False)";{'pca__whiten': False, 'pca__svd_solver': 'auto', 'pca__n_components': 11, 'normalizer__norm': 'l1', 'ExtraTreesRegressor__warm_start': True, 'ExtraTreesRegressor__n_estimators': 10, 'ExtraTreesRegressor__max_features': 'auto', 'ExtraTreesRegressor__criterion': 'mae', 'ExtraTreesRegressor__bootstrap': True}
BaggingRegressor;0.5096774193548387;0.6541935483870968;0.01472999930311442;0.0;5649263;train_test_split 30%;normalizer;pca;"[('normalizer', Normalizer(copy=True, norm='l2')), ('pca', PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)), ('BaggingRegressor', BaggingRegressor(base_estimator=None, bootstrap=True, bootstrap_features=False,
                 max_features=1.0, max_samples=1.0, n_estimators=10,
                 n_jobs=None, oob_score=False, random_state=None, verbose=0,
                 warm_start=False))]";{'normalizer__norm': ('l1', 'l2', 'max'), 'pca__n_components': [None, 3, 5, 7, 9, 11], 'pca__whiten': [True, False], 'pca__svd_solver': ('auto', 'full', 'randomized'), 'BaggingRegressor__n_estimators': [5, 10, 15], 'BaggingRegressor__bootstrap': [True, False], 'BaggingRegressor__warm_start': [True, False]};2;26;9;"Pipeline(memory=None,
         steps=[('normalizer', Normalizer(copy=True, norm='l2')),
                ('pca',
                 PCA(copy=True, iterated_power='auto', n_components=5,
                     random_state=None, svd_solver='randomized', tol=0.0,
                     whiten=True)),
                ('BaggingRegressor',
                 BaggingRegressor(base_estimator=None, bootstrap=True,
                                  bootstrap_features=False, max_features=1.0,
                                  max_samples=1.0, n_estimators=5, n_jobs=None,
                                  oob_score=False, random_state=None, verbose=0,
                                  warm_start=False))],
         verbose=False)";{'pca__whiten': True, 'pca__svd_solver': 'randomized', 'pca__n_components': 5, 'normalizer__norm': 'l2', 'BaggingRegressor__warm_start': False, 'BaggingRegressor__n_estimators': 5, 'BaggingRegressor__bootstrap': True}
GradientBoostingRegressor;0.4935483870967742;0.572258064516129;0.012790972935550806;0.0;8845060;train_test_split 30%;normalizer;pca;"[('normalizer', Normalizer(copy=True, norm='l2')), ('pca', PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)), ('GradientBoostingRegressor', GradientBoostingRegressor(alpha=0.9, criterion='friedman_mse', init=None,
                          learning_rate=0.1, loss='ls', max_depth=3,
                          max_features=None, max_leaf_nodes=None,
                          min_impurity_decrease=0.0, min_impurity_split=None,
                          min_samples_leaf=1, min_samples_split=2,
                          min_weight_fraction_leaf=0.0, n_estimators=100,
                          n_iter_no_change=None, presort='auto',
                          random_state=None, subsample=1.0, tol=0.0001,
                          validation_fraction=0.1, verbose=0, warm_start=False))]";{'normalizer__norm': ('l1', 'l2', 'max'), 'pca__n_components': [None, 3, 5, 7, 9, 11], 'pca__whiten': [True, False], 'pca__svd_solver': ('auto', 'full', 'randomized'), 'GradientBoostingRegressor__loss': ('ls', 'lad', 'huber', 'quantile'), 'GradientBoostingRegressor__criterion': ('friedman_mse', 'mse', 'mae'), 'GradientBoostingRegressor__max_features': ('auto', 'sqrt', 'log2'), 'GradientBoostingRegressor__n_estimators': [50, 100, 150], 'GradientBoostingRegressor__warm_start': [True, False]};2;37;6;"Pipeline(memory=None,
         steps=[('normalizer', Normalizer(copy=True, norm='max')),
                ('pca',
                 PCA(copy=True, iterated_power='auto', n_components=None,
                     random_state=None, svd_solver='auto', tol=0.0,
                     whiten=True)),
                ('GradientBoostingRegressor',
                 GradientBoostingRegressor(alpha=0.9, criterion='mse',
                                           init=None, learning_rate=0.1,
                                           loss='ls', max_depth=3,
                                           max_features='sqrt',
                                           max_leaf_nodes=None,
                                           min_impurity_decrease=0.0,
                                           min_impurity_split=None,
                                           min_samples_leaf=1,
                                           min_samples_split=2,
                                           min_weight_fraction_leaf=0.0,
                                           n_estimators=150,
                                           n_iter_no_change=None,
                                           presort='auto', random_state=None,
                                           subsample=1.0, tol=0.0001,
                                           validation_fraction=0.1, verbose=0,
                                           warm_start=False))],
         verbose=False)";{'pca__whiten': True, 'pca__svd_solver': 'auto', 'pca__n_components': None, 'normalizer__norm': 'max', 'GradientBoostingRegressor__warm_start': False, 'GradientBoostingRegressor__n_estimators': 150, 'GradientBoostingRegressor__max_features': 'sqrt', 'GradientBoostingRegressor__loss': 'ls', 'GradientBoostingRegressor__criterion': 'mse'}
AdaBoostRegressor;0.5496774193548387;0.6580645161290323;0.014529715454749141;0.0;435002;train_test_split 30%;normalizer;pca;"[('normalizer', Normalizer(copy=True, norm='l2')), ('pca', PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)), ('AdaBoostRegressor', AdaBoostRegressor(base_estimator=None, learning_rate=1.0, loss='linear',
                  n_estimators=50, random_state=None))]";{'normalizer__norm': ('l1', 'l2', 'max'), 'pca__n_components': [None, 3, 5, 7, 9, 11], 'pca__whiten': [True, False], 'pca__svd_solver': ('auto', 'full', 'randomized'), 'AdaBoostRegressor__loss': ('linear', 'square', 'exponential'), 'AdaBoostRegressor__n_estimators': [25, 50, 75]};2;41;6;"Pipeline(memory=None,
         steps=[('normalizer', Normalizer(copy=True, norm='l2')),
                ('pca',
                 PCA(copy=True, iterated_power='auto', n_components=11,
                     random_state=None, svd_solver='auto', tol=0.0,
                     whiten=False)),
                ('AdaBoostRegressor',
                 AdaBoostRegressor(base_estimator=None, learning_rate=1.0,
                                   loss='exponential', n_estimators=75,
                                   random_state=None))],
         verbose=False)";{'pca__whiten': False, 'pca__svd_solver': 'auto', 'pca__n_components': 11, 'normalizer__norm': 'l2', 'AdaBoostRegressor__n_estimators': 75, 'AdaBoostRegressor__loss': 'exponential'}
HuberRegressor;0.5612903225806452;0.6774193548387096;0.01503045732893095;1.0;8745200;train_test_split 30%;normalizer;pca;"[('normalizer', Normalizer(copy=True, norm='l2')), ('pca', PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)), ('HuberRegressor', HuberRegressor(alpha=0.0001, epsilon=1.35, fit_intercept=True, max_iter=100,
               tol=1e-05, warm_start=False))]";{'normalizer__norm': ('l1', 'l2', 'max'), 'pca__n_components': [None, 3, 5, 7, 9, 11], 'pca__whiten': [True, False], 'pca__svd_solver': ('auto', 'full', 'randomized'), 'HuberRegressor__max_iter': [50, 100, 150], 'HuberRegressor__warm_start': [True, False]};2;39;5;"Pipeline(memory=None,
         steps=[('normalizer', Normalizer(copy=True, norm='l2')),
                ('pca',
                 PCA(copy=True, iterated_power='auto', n_components=9,
                     random_state=None, svd_solver='randomized', tol=0.0,
                     whiten=True)),
                ('HuberRegressor',
                 HuberRegressor(alpha=0.0001, epsilon=1.35, fit_intercept=True,
                                max_iter=50, tol=1e-05, warm_start=True))],
         verbose=False)";{'pca__whiten': True, 'pca__svd_solver': 'randomized', 'pca__n_components': 9, 'normalizer__norm': 'l2', 'HuberRegressor__warm_start': True, 'HuberRegressor__max_iter': 50}
